trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,1,-209.97641148019528,"{0: 19, 1: 5, 2: 5, 3: 2, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-111.09393875027982,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-28.558735781770615,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-110.13520470287237,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-124.31312009558458,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.56118978731448,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,16,6.041345346503354,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-42.49108015282742,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-87.18176674802378,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,11,-8.973842158897622,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,15,-23.072839351411304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-102.7328496944927,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-38.47048471267981,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-64.03552963691327,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-47.5891251097125,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-0.10021025159504271,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.57176059763586,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,28.879688710213046,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-16.35366700679658,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-38.12131658739239,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,6,-119.39622293715394,"{0: 23, 1: 2, 2: 0, 3: 1, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",20,0,11.09057277551756,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-22.185991492839346,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,20.349614218441587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,7,18.044870131517705,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,6,20.930208036365876,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-25.033061148702075,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-41.720299687802104,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-13.56202287675125,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-73.48744320628896,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
