trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-170.33086588726513,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-140.53166111514577,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-170.74745194515754,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-147.53753649925875,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,9,-19.599688437244442,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,11,-68.51444205071499,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-104.75744624932837,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,0,-116.83087464678302,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9994880436891754}",25,0,-122.95585000718668,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-114.65516281469253,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-66.27956070975152,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9990321561605888}",25,0,-143.07266746505098,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-90.75241138099747,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-186.0047544982893,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,15,-29.00767909063559,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-169.7708483709286,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.99795269895523}",20,0,-138.0408651533783,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-108.88410369399618,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-85.86998328616396,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
